Argentina.jpg,228,42,267,80
Argentina.jpg,148,202,187,240
Argentina.jpg,328,28,378,78
Argentina.jpg,516,36,566,86
Argentina.jpg,28,45,78,95
Argentina.jpg,122,45,172,95
Argentina.jpg,422,45,472,95
Argentina.jpg,182,190,232,241
Argentina.jpg,396,190,446,241
Argentina.jpg,533,190,583,241
Argentina.jpg,36,199,86,249
Argentina.jpg,276,208,326,258
Argentina.jpg,310,388,360,438
Argentina.jpg,482,134,552,204
Argentina.jpg,482,338,552,408
Arsenal.jpg,535,1,570,36
Arsenal.jpg,362,28,400,67
Arsenal.jpg,122,35,160,74
Arsenal.jpg,442,55,480,94
Arsenal.jpg,308,242,347,280
Arsenal.jpg,168,248,207,287
Arsenal.jpg,255,302,294,340
Arsenal.jpg,430,10,481,61
Arsenal.jpg,302,28,352,78
Arsenal.jpg,550,36,600,86
Arsenal.jpg,62,45,112,95
Arsenal.jpg,173,45,223,95
Arsenal.jpg,396,45,446,95
Arsenal.jpg,268,53,318,103
Arsenal.jpg,45,88,95,138
Arsenal.jpg,345,139,395,189
Arsenal.jpg,448,156,498,206
Arsenal.jpg,525,156,575,206
Arsenal.jpg,233,165,283,215
Arsenal.jpg,156,173,206,223
Arsenal.jpg,559,182,609,232
Arsenal.jpg,508,319,558,369
Arsenal.jpg,482,50,552,120
Arsenal.jpg,302,278,372,348
Brazil.jpg,322,35,360,74
Brazil.jpg,435,42,474,80
Brazil.jpg,115,315,154,354
Brazil.jpg,415,315,454,354
Brazil.jpg,199,36,249,86
Brazil.jpg,10,53,61,103
Brazil.jpg,525,53,575,103
Brazil.jpg,336,96,386,146
Brazil.jpg,79,156,129,206
Brazil.jpg,199,182,249,232
Brazil.jpg,482,345,532,395
Brazil.jpg,434,86,504,156
Brazil.jpg,458,170,528,240
Colombia.jpg,255,42,294,80
Colombia.jpg,148,55,187,94
Colombia.jpg,495,62,534,100
Colombia.jpg,108,215,147,254
Colombia.jpg,155,288,194,327
Colombia.jpg,308,288,347,327
Colombia.jpg,475,315,514,354
Colombia.jpg,455,342,494,380
Colombia.jpg,370,45,420,95
Colombia.jpg,319,165,369,215
Colombia.jpg,216,199,266,249
Colombia.jpg,439,208,489,258
Colombia.jpg,542,208,592,258
Colombia.jpg,328,328,378,378
Colombia.jpg,26,194,96,264
Ecuador.jpg,275,68,314,107
Ecuador.jpg,368,68,407,107
Ecuador.jpg,168,75,207,114
Ecuador.jpg,448,75,487,114
Ecuador.jpg,2,175,40,214
Ecuador.jpg,102,202,140,240
Ecuador.jpg,322,208,360,247
Ecuador.jpg,202,215,240,254
Ecuador.jpg,268,302,307,340
Ecuador.jpg,525,79,575,129
Ecuador.jpg,448,199,498,249
Ecuador.jpg,508,225,558,275
Ecuador.jpg,422,233,472,283
Ecuador.jpg,542,259,592,309
Ecuador.jpg,362,302,412,352
Ecuador.jpg,79,353,129,403
Ecuador.jpg,430,379,481,429
Ecuador.jpg,50,146,120,216
England.jpg,222,348,260,387
England.jpg,342,368,380,407
England.jpg,568,28,618,78
England.jpg,413,36,463,86
England.jpg,302,45,352,95
England.jpg,105,62,155,112
England.jpg,199,62,249,112
England.jpg,96,199,146,249
England.jpg,19,216,69,266
England.jpg,139,233,189,283
England.jpg,251,233,300,283
England.jpg,533,233,583,283
England.jpg,508,293,558,343
England.jpg,70,328,121,378
England.jpg,190,336,241,386
England.jpg,310,345,360,395
England.jpg,473,353,523,403
England.jpg,518,50,588,120
England.jpg,326,86,396,156
England.jpg,386,230,456,300
England.jpg,134,254,204,324
England.jpg,50,278,120,348
Germany.jpg,355,62,394,100
Germany.jpg,568,75,607,114
Germany.jpg,355,88,394,127
Germany.jpg,122,102,160,140
Germany.jpg,575,102,614,140
Germany.jpg,582,262,620,300
Germany.jpg,442,268,480,307
Germany.jpg,255,302,294,340
Germany.jpg,495,362,534,400
Germany.jpg,113,70,163,121
Germany.jpg,19,225,69,275
Germany.jpg,148,225,198,275
Germany.jpg,293,225,343,275
Germany.jpg,439,233,489,283
Germany.jpg,388,302,438,352
Germany.jpg,516,345,566,395
Germany.jpg,506,14,576,84
